,text,result,time
41,Kemarin mereka mendaftar beasiswa djarum,wingi !klomo mendaftar beasiswa djarum,0.01100015640258789
42,Kak adit aku pesan indominya satu,kak adit kita wasiat !indominya sii,0.008015632629394531
43,Teman saya bekerja di gojek,!pencet !bae menggawe ning gojek,0.010992288589477539
44,Bosan dengan dunia ini yang penuh dengan kemunafikan,melek karo !goroh kiyen kang !bosen karo kemunafikan,0.00999593734741211
45,Orang sekarang kebanyakan sulit menghargai orang lain,wong sakiyen (kiyen) !kaken !asat menghargai wong sele (beda),0.038010358810424805
46,"Orang indonesia itu butuh pemimpin visioner bukan penghibur,",wong ï»¿cerbon iku !wutuh pemimpin visioner dudu penghibur,0.00903463363647461
47,Yang benar-benar real tidak ada settingan,kang !surup !dodol ora ana settingan,0.01096487045288086
48,Aku memesan jaket gunung eiger,kita !masak jaket gunung eiger,0.009982585906982422
49,Saya sangat puas dengan spesifikasi laptop asus,!bae banget puas karo spesifikasi laptop asus,0.009017467498779297
50,Perjalanan malam ini sungguh melelahkan.,perjalanan bengi kiyen temenan !lendek,0.03400063514709473
51,Bulan ini saldo di rekening saya nol.,wulan-(planit) kiyen saldo ning rekening !bae nol,0.010991096496582031
52,Aku tidak pernah menyesal mencintaimu.,kita ora pernah getun !mencep,0.008999824523925781
53,Terdapat banyak taman kota di malang.,terdapat pirang-pirang taman kota ning malang,0.010004043579101562
54,Warga temukan 2.910 keping ktp-el di semak belukar,warga !pencet 2910 keping ktpel ning semak belukar,0.008989572525024414
55,Otakmu nyatanya hanya sebesar kelereng.,otakmu !jare mungan !iring (inggir) kelereng,0.03399848937988281
56,Bapak berkumis lebat itu menyebrang menggunakan zebra cross,!bapak berkumis !enak-(nikmat) iku menyebrang !awe-awe zebra cross,0.011036872863769531
57,"Malas makan oreo, suka bikin gigi hitam",!bengi mangan oreo !buka !batin untu ireng,0.012979269027709961
58,Menyebalkan. Senin pagi beserta macet parah dan banjir,menyebalkan !senin esuk beserta macet !umbang !godong banjir,0.011006355285644531
59,Pelayanan pt kami sangat memuaskan,pelayanan pt !ping banget memuaskan,0.008975744247436523
60,India sedang membuat superbike listrik berkecepatan tinggi,india agi gawe superbike listrik berkecepatan duwur,0.029999732971191406
61,Temanku juga banyak yang bekerja di bukalapak,!babu uga pirang-pirang kang menggawe ning bukalapak,0.009980201721191406
